Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
SLC25A26	HG991_PATCH	66119285	66465398	ENSG00000261657
BTC	HG706_PATCH	75610476	75660403	ENSG00000261530
GAST	HG185_PATCH	39868578	39872221	ENSG00000260334
HAP1	HG185_PATCH	39873994	39890896	ENSG00000261125
JUP	HG185_PATCH	39910856	39943183	ENSG00000261577
LEPREL4	HG185_PATCH	39958199	39968855	ENSG00000261163
FKBP10	HG185_PATCH	39968962	39979465	ENSG00000261258
NT5C3B	HG185_PATCH	39981433	39992515	ENSG00000260753
GOLGA6L6	15	20737094	20747114	ENSG00000215405
AC012414.1	15	21004687	21005367	ENSG00000268343
KLHL10	HG185_PATCH	39991937	40004636	ENSG00000261631
POTEB2	15	21040701	21071643	ENSG00000230031
KLHL11	HG185_PATCH	40009797	40021683	ENSG00000259896
SECISBP2L	15	49280673	49338760	ENSG00000138593
DKFZP547L112	15	22011370	22012050	ENSG00000268531
POTEB	15	22051853	22083227	ENSG00000233917
TPTE	21	10906201	11029719	ENSG00000166157
ACLY	HG185_PATCH	40023160	40075239	ENSG00000260245
TTC25	HG185_PATCH	40086887	40121903	ENSG00000260703
AL050302.1	21	14741931	14745386	ENSG00000256715
POTED	21	14982498	15013906	ENSG00000166351
CNP	HG185_PATCH	40122993	40131428	ENSG00000260283
AL050303.1	21	15051621	15053459	ENSG00000269011
LDLRAD4	18	13217497	13652754	ENSG00000168675
DNAJC7	HG185_PATCH	40132691	40173905	ENSG00000262684
LIPI	21	15481134	15583166	ENSG00000188992
RBM11	21	15588451	15600693	ENSG00000185272
OR4M2	15	22368478	22369561	ENSG00000182974
NKIRAS2	HG185_PATCH	40173272	40181893	ENSG00000260770
OR4N4	15	22382382	22383507	ENSG00000183706
AC010760.1	15	22456895	22460351	ENSG00000269182
HSPA13	21	15743436	15755805	ENSG00000155304
ZNF385C	HG185_PATCH	40181828	40219330	ENSG00000260320
GOLGA6L1	15	22736246	22746002	ENSG00000197414
DHX58	HG185_PATCH	40257656	40268985	ENSG00000260178
COPS2	15	49398268	49447858	ENSG00000166200
SAMSN1	21	15857549	15955723	ENSG00000155307
KAT2A	HG185_PATCH	40269360	40277610	ENSG00000259958
AF165138.7	21	15964251	16031142	ENSG00000243440
HSPB9	HG185_PATCH	40277683	40279604	ENSG00000260325
RAB5C	HG185_PATCH	40281228	40311269	ENSG00000261378
TUBGCP5	15	22833395	22873892	ENSG00000153575
NRIP1	21	16333556	16437321	ENSG00000180530
RMDN3	15	41028082	41048049	ENSG00000137824
PECAM1	HG183_PATCH	62399863	62491136	ENSG00000261371
RP11-625H11.1	15	62929371	62937490	ENSG00000259458
MILR1	HG183_PATCH	62526397	62546003	ENSG00000263304
GCHFR	15	41056218	41059906	ENSG00000137880
POLG2	HG183_PATCH	62555145	62574426	ENSG00000262917
DNAJC17	15	41060067	41099675	ENSG00000104129
FAM210A	18	13663346	13726662	ENSG00000177150
USP25	21	17102344	17252377	ENSG00000155313
DDX5	HG183_PATCH	62576980	62585072	ENSG00000263077
ST8SIA5	18	44259081	44339220	ENSG00000101638
C21orf37	21	18811208	18821503	ENSG00000232560
CEP95	HG183_PATCH	62584096	62615309	ENSG00000263046
CXADR	21	18884700	18965897	ENSG00000154639
RNMT	18	13726659	13764557	ENSG00000101654
QSOX2	HG998_1_PATCH	139098179	139137687	ENSG00000261074
PIAS2	18	44388353	44500123	ENSG00000078043
GALK2	15	49447853	49660066	ENSG00000156958
WI2-2610K16.1	HG998_1_PATCH	139173226	139198747	ENSG00000260220
BTG3	21	18965971	18985265	ENSG00000154640
C15orf62	15	41062159	41064643	ENSG00000188277
EPPIN-WFDC6	20	44165625	44176065	ENSG00000249139
DOCK3	HG186_PATCH	50712672	51421329	ENSG00000260587
MANF	HG186_PATCH	51422478	51426828	ENSG00000259880
WFDC8	20	44179792	44207965	ENSG00000158901
TPM1	15	63334831	63364114	ENSG00000140416
RBM15B	HG186_PATCH	51428699	51435339	ENSG00000259956
